Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Goin' Off,"Karan Aujla, Mxrci",Goin' Off,3uXGbWKTUkC14RmbgjTQlM,3txE0SZnwamBhYB2ZQtHwU,66,2024-05-09,163000,False,https://open.spotify.com/track/3txE0SZnwamBhYB2ZQtHwU,0.571,0.897,2,-4.002,1,0.209,0.0873,0.0,0.173,0.381,84.125
MVP,Shubh,MVP,5oCCfkVCpkSUhBUXe0pyJF,5BQePe9rcCJozHK3oPayYk,60,2024-05-10,196898,True,https://open.spotify.com/track/5BQePe9rcCJozHK3oPayYk,0.742,0.572,7,-8.163,0,0.0743,0.391,0.00428,0.318,0.644,88.041
California Love,"Cheema Y, Gur Sidhu",ANYWAY,64MZHXV7IglO8LE8KplSRw,610keNiNVTIkYD0CqeSerg,75,2023-01-30,175687,True,https://open.spotify.com/track/610keNiNVTIkYD0CqeSerg,0.691,0.583,1,-6.145,0,0.295,0.206,1.44e-06,0.117,0.458,178.113
8 ASLE,"Sukha, Chani Nattan, Prodgk, Gurlez Akhtar",UNDISPUTED,5jwxgwhfEuWqBfKYPHaC34,6wkHR8cU4INbp145hngbQO,74,2023-11-17,161000,True,https://open.spotify.com/track/6wkHR8cU4INbp145hngbQO,0.769,0.684,10,-6.113,0,0.148,0.0977,0.0,0.18,0.483,100.042
"Naina (From ""Crew"")","Diljit Dosanjh, Badshah, Raj Ranjodh","Naina (From ""Crew"")",4mGz0G0d2mqGmaFc67MEEm,1eZefeDb8uOsjvcbl1fJrG,81,2024-03-05,180000,False,https://open.spotify.com/track/1eZefeDb8uOsjvcbl1fJrG,0.84,0.715,0,-5.141,1,0.187,0.176,0.0,0.0935,0.542,96.98
Drippy,"Sidhu Moose Wala, Mxrci, AR Paisley",Drippy,7xlh4JhUD65QX1HzN2guSX,4fnIORP0QTYTOMPqMKpJtF,74,2024-02-02,195200,True,https://open.spotify.com/track/4fnIORP0QTYTOMPqMKpJtF,0.749,0.644,9,-6.558,1,0.336,0.0435,0.0,0.12,0.446,150.015
King Shit,Shubh,Leo,1h0Yw7Wm49GGiGpN2gd3o2,1BpvuKIG7jK5EiTp2tv5z8,78,2024-01-05,226933,False,https://open.spotify.com/track/1BpvuKIG7jK5EiTp2tv5z8,0.794,0.566,11,-8.35,0,0.0602,0.301,0.000168,0.151,0.68,85.953
9:45,"Prabh Singh, Jay Trak, Rooh Sandhu",9:45,5ITQeRYoVu4qRdo9TUTuuR,6c4Po8zyQjB4cR5XgLhcGb,78,2023-03-10,117606,False,https://open.spotify.com/track/6c4Po8zyQjB4cR5XgLhcGb,0.796,0.455,1,-7.763,0,0.0997,0.637,3.59e-06,0.156,0.352,99.958
Bandana,Shubh,Bandana,1jiFBECVkHOJwDe9TcKKiB,7KQdgW7QzNd9oPoCzjCU76,79,2024-03-29,154667,False,https://open.spotify.com/track/7KQdgW7QzNd9oPoCzjCU76,0.716,0.718,6,-5.348,0,0.148,0.0452,0.0,0.192,0.91,89.906
Qatil Surma,"Himmat Sandhu, Mandeep Maavi, Desi Crew",Qatil Surma,19Y4WSyFLpjmDPDXgQIRnV,4IGM0oeUfaSmJknMjwOWKe,0,2024-05-14,179800,False,https://open.spotify.com/track/4IGM0oeUfaSmJknMjwOWKe,0.728,0.783,4,-5.278,0,0.296,0.104,0.0,0.206,0.852,149.862
Miami Flow,JERRY,RAW,72MyJJSH7ZThR7366dRC2Y,2DgeseqrXJEc7MmKvXWxY0,53,2024-05-09,149858,False,https://open.spotify.com/track/2DgeseqrXJEc7MmKvXWxY0,0.789,0.567,6,-8.008,0,0.0621,0.182,0.0,0.107,0.225,101.017
Kinni Kinni,"Diljit Dosanjh, thiarajxtt",Ghost,1d1FYLFpu2NITI6ilVaHDd,3F3ZuXYFXGM1V6pk3b3zmi,77,2023-09-29,213344,False,https://open.spotify.com/track/3F3ZuXYFXGM1V6pk3b3zmi,0.883,0.525,3,-8.391,0,0.112,0.517,0.00046,0.0734,0.608,97.005
410,"Sidhu Moose Wala, Sunny Malton, Offgrid",410,0kUrdWYhWYGz71c0jaGnJe,0R1AZYXc34nfMaiengrkRc,76,2024-04-10,234894,False,https://open.spotify.com/track/0R1AZYXc34nfMaiengrkRc,0.669,0.877,8,-3.779,1,0.286,0.103,0.0,0.0935,0.374,93.825
God Damn,"Badshah, Karan Aujla, Hiten",Ek Tha Raja,0LcyzKKw3RjFKL6ygISTeU,209QxKVJzh2FLUmZHpYs4m,77,2024-03-18,167234,False,https://open.spotify.com/track/209QxKVJzh2FLUmZHpYs4m,0.578,0.796,1,-6.247,1,0.188,0.0449,0.0,0.109,0.315,93.402
You and Me,Shubh,Leo,1h0Yw7Wm49GGiGpN2gd3o2,4thOONDx78zsY8sHGfU1M2,74,2024-01-05,172067,False,https://open.spotify.com/track/4thOONDx78zsY8sHGfU1M2,0.695,0.786,8,-6.223,0,0.037,0.109,0.0122,0.186,0.408,102.022
MEDAL,"Chandra Brar, MixSingh",MEDAL,1UWSQ9JqRDlPfFMR89J9kf,4K5aBuakMjnDhFa56CmlHC,68,2023-12-09,133043,False,https://open.spotify.com/track/4K5aBuakMjnDhFa56CmlHC,0.826,0.724,2,-5.503,0,0.0895,0.231,0.000274,0.141,0.711,92.029
We Different,"Wazir Patar, Gurlez Akhtar",We Different,2kgj5kqtOqe0xQ0sX3qt9e,0NUFlsE6MRFRc0qJs2ljPB,48,2024-05-10,145714,False,https://open.spotify.com/track/0NUFlsE6MRFRc0qJs2ljPB,0.78,0.861,9,-1.0,0,0.352,0.0319,1.08e-05,0.0651,0.747,167.887
Khutti,"Diljit Dosanjh, Saweetie",Khutti,0ISqysl9naGSplhk71vv4Z,3Jd1yxcUQLdfBJcsxFtYzj,72,2024-03-22,132772,True,https://open.spotify.com/track/3Jd1yxcUQLdfBJcsxFtYzj,0.78,0.695,9,-4.485,1,0.16,0.0255,0.0,0.168,0.524,149.924
Love Ya,"Diljit Dosanjh, Sagar",Love Ya,4VkH37VVMJ2geNURWVg1W7,5RWZ6TVZ0HeFTdRWu3VQ7w,72,2024-01-06,161880,False,https://open.spotify.com/track/5RWZ6TVZ0HeFTdRWu3VQ7w,0.715,0.505,2,-8.341,0,0.0564,0.619,0.0,0.297,0.547,133.861
Softly,"Karan Aujla, Ikky",Making Memories,3BGU0BqGwBkYDHpfCWFm7I,0YQJoDL6f46J0n1rOVkpxJ,77,2023-08-18,155161,False,https://open.spotify.com/track/0YQJoDL6f46J0n1rOVkpxJ,0.735,0.564,8,-7.786,1,0.204,0.191,0.0,0.0791,0.902,92.986
Aa,"Roach Killa, Arif Lohar, Deep Jandu",Aa,777njg8aKak7ogZL2NUYrk,476WPJ4GsgLDkJiAFbHJRo,68,2023-12-14,190393,False,https://open.spotify.com/track/476WPJ4GsgLDkJiAFbHJRo,0.815,0.801,9,-5.947,1,0.0509,0.071,4.27e-05,0.181,0.741,100.056
Famous Enough,"Navaan Sandhu, Gurlez Akhtar, RXTRO",Paper Before Money,1W8xXVyN2UEJWhaQAtrHcC,5HzPjMMntmDxCvHBhrzKrY,66,2024-03-13,240000,False,https://open.spotify.com/track/5HzPjMMntmDxCvHBhrzKrY,0.737,0.656,4,-5.82,0,0.256,0.178,0.0,0.426,0.301,91.878
