Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
LUNCH,Billie Eilish,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,629DixmZGHc7ILtEntuiWE,82,2024-05-17,179587,False,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,52TwRwdTUMtkpglbOE5IRz,7fzHQizxTqy8wTXwlrgPQQ,97,2024-04-26,155152,False,https://open.spotify.com/track/7fzHQizxTqy8wTXwlrgPQQ,0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003
Espresso,Sabrina Carpenter,Espresso,5quMTd5zeI9yW5UDua8wS4,2qSkIjg1o9h3YT9RAgYN75,99,2024-04-12,175459,True,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969
Too Sweet,Hozier,Unheard,1KZC0cX0qq6hodR9YVgh9F,4IadxL6BUymXlh8RCJJu7T,88,2024-03-22,251424,False,https://open.spotify.com/track/4IadxL6BUymXlh8RCJJu7T,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),6egBeCLeGITzGSo5VyRjwZ,2FQrifJ1N335Ljm3TjTVVf,96,2024-04-12,171292,True,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012
i like the way you kiss me,Artemas,i like the way you kiss me,5HIWDdg3g9CTOtnevKDl1z,2GxrNKugF82CnoRFbQfzPf,100,2024-03-19,142515,False,https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,71PfP4E9roOXAudea1aPGw,46kspZSY3aKmwQe7O77fCC,90,2024-03-08,228639,False,https://open.spotify.com/track/46kspZSY3aKmwQe7O77fCC,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2OzhQlSqBEmt7hmkYxfT6m,96,2024-04-18,228965,False,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004
Beautiful Things,Benson Boone,Beautiful Things,29aSKB1qPEbN0Qf9OPSQpw,6tNQ70jh4OwmPGpYy6R2o9,96,2024-01-18,180304,False,https://open.spotify.com/track/6tNQ70jh4OwmPGpYy6R2o9,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,1woYXxyyxTQJ0E0AhZE6mj,7221xIgOnuakPdLqT0F3nP,93,2024-05-10,178206,True,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP,0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986
